        //Th[K]         P[Pa]    H[J/kg]      Cp_eq[J/kg-K]  mu[Pa-s]       lambda[W/m-K]  rho[kg/m^3]
          2990          4500   4.90916e+06        5243.06   9.62838e-05         0.9549    0.00480021
          3040          4500   5.17307e+06        5298.72   9.77396e-05       0.969045    0.00467351
          3090          4500   5.43749e+06        5262.55   9.92012e-05       0.964818    0.00455157
          3140          4500   5.69779e+06         5134.5   0.000100661       0.942328     0.0044352
          3190          4500   5.94956e+06        4923.58    0.00010211       0.903452    0.00432502
          3240          4500   6.18905e+06         4646.9   0.000103544       0.851613    0.00422142
          3290          4500   6.41353e+06        4326.92   0.000104958       0.791225    0.00412456
          3340          4500   6.62142e+06        3987.71   0.000106348       0.726972     0.0040343
          3390          4500   6.81234e+06        3651.26   0.000107715       0.663117    0.00395032
          3440          4500   6.98689e+06        3334.93   0.000109059       0.603029    0.00387215
          3490          4500   7.14637e+06        3050.39   0.000110381       0.548997    0.00379923
          3540          4500   7.29256e+06        2803.95   0.000111684       0.502286    0.00373096
          3590          4500   7.42744e+06         2597.6    0.00011297       0.463341    0.00366678
          3640          4500   7.55298e+06        2430.38   0.000114242       0.432042    0.00360616
